,0,1,2,3,4,5,6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.854723707664884
2,1.0,1.0,1.0,1.0,1.0,1.0,0.8843954248366014
3,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,0.8660130718954249
4,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9215686274509803
5,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
6,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.8680555555555557
7,1.0,1.0,1.0,1.0,1.0,1.0,0.8843954248366014
8,1.0,1.0,1.0,1.0,1.0,1.0,0.8496732026143792
9,1.0,1.0,1.0,1.0,1.0,1.0,0.888888888888889
10,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
11,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
12,1.0,1.0,1.0,1.0,1.0,1.0,0.8496732026143792
13,1.0,1.0,1.0,1.0,1.0,1.0,0.9191176470588235
14,1.0,1.0,1.0,1.0,1.0,1.0,0.8496732026143792
15,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444445
16,1.0,1.0,1.0,1.0,1.0,1.0,0.9007352941176471
17,1.0,1.0,1.0,1.0,0.9743589743589745,1.0,0.8660130718954249
18,1.0,0.9848484848484849,1.0,1.0,0.9743589743589745,1.0,0.9215686274509803
19,1.0,1.0,1.0,1.0,0.9743589743589745,1.0,0.8660130718954249
20,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.8680555555555557
21,1.0,0.9466666666666667,1.0,1.0,1.0,1.0,0.8843954248366014
22,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
23,1.0,1.0,1.0,1.0,1.0,1.0,0.8843954248366014
24,1.0,1.0,1.0,1.0,1.0,1.0,0.8843954248366014
25,1.0,0.955862977602108,1.0,1.0,1.0,1.0,0.9191176470588235
26,1.0,0.9848484848484849,1.0,1.0,0.9743589743589745,1.0,0.9375
27,1.0,1.0,1.0,1.0,0.9743589743589745,1.0,0.8823529411764706
28,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
29,1.0,1.0,1.0,1.0,1.0,1.0,0.888888888888889
30,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9052287581699346
31,1.0,0.9848484848484849,1.0,1.0,0.9743589743589745,1.0,0.9191176470588235
32,1.0,1.0,1.0,1.0,0.9743589743589745,1.0,0.9027777777777778
33,1.0,1.0,1.0,1.0,1.0,1.0,0.9236111111111112
34,1.0,1.0,1.0,1.0,1.0,1.0,0.888888888888889
35,1.0,1.0,1.0,1.0,1.0,1.0,0.8680555555555557
36,1.0,1.0,1.0,1.0,1.0,1.0,0.9236111111111112
37,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
38,1.0,1.0,1.0,1.0,1.0,1.0,0.8680555555555557
39,1.0,1.0,1.0,1.0,1.0,1.0,0.8496732026143792
40,1.0,1.0,1.0,1.0,1.0,1.0,0.8187134502923977
41,1.0,1.0,1.0,1.0,0.9743589743589745,1.0,0.9007352941176471
42,1.0,0.955862977602108,1.0,1.0,1.0,1.0,0.9583333333333334
43,1.0,1.0,1.0,1.0,1.0,1.0,0.9236111111111112
44,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9444444444444445
45,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
46,1.0,1.0,1.0,1.0,1.0,1.0,0.8843954248366014
47,1.0,1.0,1.0,1.0,1.0,1.0,0.9052287581699346
48,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
49,1.0,1.0,1.0,1.0,1.0,1.0,0.8187134502923977
50,1.0,0.9431818181818182,1.0,1.0,0.9743589743589745,1.0,0.9236111111111112
51,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
52,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,0.9215686274509803
53,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.8823529411764706
54,1.0,0.9848484848484849,1.0,1.0,0.9743589743589745,1.0,0.8843954248366014
55,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,0.9375
56,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9399509803921569
57,1.0,1.0,1.0,1.0,1.0,1.0,0.8496732026143791
58,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9399509803921569
59,1.0,1.0,1.0,1.0,1.0,1.0,0.888888888888889
60,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.8496732026143791
61,1.0,0.9710144927536232,1.0,1.0,1.0,1.0,0.9444444444444445
62,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.8660130718954249
63,1.0,1.0,1.0,1.0,0.9743589743589745,1.0,0.9399509803921569
64,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9007352941176471
65,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9399509803921569
66,1.0,1.0,1.0,1.0,1.0,1.0,0.9191176470588235
67,1.0,0.9710144927536232,1.0,1.0,1.0,1.0,0.9791666666666666
68,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
69,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
70,1.0,1.0,1.0,1.0,1.0,1.0,0.9027777777777778
71,1.0,0.9848484848484849,1.0,1.0,0.9487179487179488,1.0,0.9191176470588235
72,1.0,0.9710144927536232,1.0,1.0,1.0,1.0,0.9027777777777778
73,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9007352941176471
74,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
75,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
76,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,0.8823529411764706
77,1.0,1.0,1.0,1.0,1.0,1.0,0.8843954248366014
78,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334
79,1.0,1.0,1.0,1.0,1.0,1.0,0.8496732026143792
80,1.0,0.9710144927536232,1.0,1.0,1.0,1.0,0.8534356725146198
81,1.0,1.0,1.0,1.0,1.0,1.0,0.8843954248366014
82,1.0,1.0,1.0,1.0,1.0,1.0,0.8496732026143791
83,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9607843137254902
84,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
85,1.0,1.0,1.0,1.0,1.0,1.0,0.9236111111111112
86,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
87,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0,1.0,0.8496732026143791
90,1.0,1.0,1.0,1.0,1.0,1.0,0.888888888888889
91,1.0,1.0,1.0,1.0,1.0,1.0,0.8173076923076922
92,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
93,1.0,1.0,1.0,1.0,1.0,1.0,0.8742690058479532
94,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9191176470588235
95,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
96,1.0,0.9710144927536232,1.0,1.0,1.0,1.0,0.9607843137254902
97,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9607843137254902
98,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
99,1.0,1.0,1.0,1.0,1.0,1.0,0.8187134502923977
100,1.0,1.0,1.0,1.0,1.0,1.0,0.9027777777777778
101,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9191176470588235
102,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9027777777777778
103,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9007352941176471
104,1.0,1.0,1.0,1.0,1.0,1.0,0.9236111111111112
105,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
106,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,1.0,1.0,1.0,1.0,1.0,1.0,1.0
