,0,1,2
0,1.0,1.0,0.6444444444444444
1,1.0,0.0,0.0
2,1.0,0.0,0.0
3,1.0,0.0,0.0
4,1.0,1.0,0.6066666666666668
5,1.0,0.9878587196467992,0.6833333333333335
6,1.0,0.9845474613686535,0.6055555555555555
7,1.0,1.0,0.66
8,1.0,0.9977924944812363,0.5933333333333334
9,1.0,0.9977924944812363,0.6566666666666666
10,1.0,0.9403973509933774,0.6666666666666666
11,1.0,1.0,0.7022222222222222
12,1.0,0.9988962472406181,0.6588888888888889
13,1.0,0.9812362030905076,0.67
14,1.0,1.0,0.6433333333333334
15,1.0,0.9988962472406181,0.6711111111111112
16,1.0,1.0,0.65
17,1.0,1.0,0.6788888888888889
18,1.0,1.0,0.6222222222222222
19,1.0,1.0,0.6455555555555555
20,1.0,0.9977924944812363,0.6588888888888889
