,0
0,131.26560310235874
1,126.80548691316895
2,122.34537072397913
3,117.88525453478933
4,113.42513834559952
5,108.96502215640972
6,104.50490596721991
7,100.0447897780301
8,96.8802869810605
9,93.71578418409091
10,90.55128138712132
11,87.38677859015172
12,84.22227579318212
13,81.05777299621255
14,77.89327019924295
15,75.43869113478664
16,72.98411207033034
17,70.52953300587403
18,68.07495394141773
19,65.62037487696142
20,63.16579581250511
21,60.71121674804881
22,58.705679623315305
23,56.700142498581805
24,54.694605373848304
25,52.689068249114804
26,50.683531124381304
27,48.677993999647796
28,46.672456874914296
29,44.97679939681446
30,43.28114191871461
31,41.58548444061477
32,39.88982696251493
33,38.194169484415085
34,36.498512006315245
35,34.802854528215406
36,33.33400920934566
37,31.86516389047591
38,30.39631857160616
39,28.927473252736412
40,27.458627933866662
41,25.989782614996912
42,24.520937296127165
43,23.225323903906947
44,21.92971051168673
45,20.634097119466514
46,19.338483727246295
47,18.042870335026077
48,16.747256942805862
49,15.451643550585644
50,14.292677878349554
51,13.133712206113465
52,11.974746533877376
53,10.815780861641286
54,9.656815189405197
55,8.497849517169108
56,7.33888384493302
57,6.290471867085445
58,5.242059889237871
59,4.193647911390297
60,3.1452359335427227
61,2.0968239556951485
62,1.0484119778475742
63,0.0
