,0
0,0.876581052913187
1,0.0
2,0.0004175051282574235
3,0.16985505982586957
4,0.35391626852328634
5,0.207427425856571
6,0.35168421871120453
7,0.32208222677830883
8,0.34100999230238555
9,0.6369301071537657
10,0.27184798949624533
11,0.2611302253132484
12,0.10397813949266532
13,0.08195263635547557
14,0.19463401032327524
15,0.28892997356087
16,0.2320769662521112
17,0.1409367113765411
18,0.27982987666645504
19,0.31217221428535263
20,0.7399205860252178
21,0.7808985097433901
22,0.7622695469328882
23,0.8060252735952727
24,0.8108022931805121
25,0.8237909840762317
26,0.7913404172959854
27,0.8631857452579011
28,0.8740754885732401
29,0.7257741901392909
30,0.7581329268734877
31,0.7907691733954798
32,0.8132016171302817
33,0.8224170565362573
34,0.8316004623744857
35,0.8674476229925338
36,0.8774479936188914
37,0.7969447086737224
38,0.8684035740724196
39,0.8792694706511018
40,0.8701933817038503
41,0.8803340983204689
42,0.810897755875592
43,0.8357171098339021
44,0.8725110399964128
45,0.862165793083275
46,0.8616044129701956
47,0.884375935671693
48,0.8800219497691332
49,0.8696009141356918
50,0.880053510328195
51,0.886667041261242
52,0.8774701557059642
53,0.8705910927057281
54,0.8911970451690738
55,0.872735194496517
56,0.8763934988594827
57,0.8800954200355812
58,0.8911237799977104
59,0.8909688268160804
60,0.8806703537543982
61,0.879646517895209
62,0.8706349327655322
63,0.8731438023285231
64,0.8887162011661478
65,0.8844845860596909
66,0.8790339142713565
67,0.8797450180376725
68,0.8912607432696844
69,0.883099426218298
70,0.8808975444141435
71,0.8722814637449328
72,0.8848442589061687
73,0.8692889941447869
74,0.8585175674753622
75,0.8760618729729343
76,0.8765178183537058
77,0.8835826228086203
78,0.883947783275301
79,0.8728819002586885
80,0.8844015636635173
81,0.8756612091721646
82,0.8796292923040013
83,0.8665526808245216
84,0.8799702514044344
85,0.8727304044191113
86,0.873090152280484
87,0.8844126293288815
88,0.8876975434428528
89,0.87995020041789
90,0.8832645198229501
91,0.8806167890089455
92,0.8837744345835833
93,0.885038937654024
94,0.8956657503953895
95,0.8797255644780925
96,0.8802188748631624
97,0.8835818396349051
98,0.8772613977295252
99,0.8864339532375604
100,0.8798271463972918
101,0.8806448113684816
102,0.8732980983165262
103,0.8836102265231274
104,0.8847843397097144
105,0.879364644806166
106,0.884447966570478
107,0.8798443673893656
108,0.8835019584828223
