,0
0,1105.8261925568213
1,1075.0108443406007
2,1044.1954961243803
3,1013.3801479081599
4,982.5647996919394
5,960.7009621856039
6,938.8371246792685
7,916.9732871729332
8,895.1094496665978
9,878.1505397667179
10,861.191629866838
11,844.232719966958
12,827.2738100670781
13,813.4173717507375
14,799.560933434397
15,785.7044951180566
16,771.848056801716
17,760.1326051348442
18,748.4171534679726
19,736.7017018011009
20,724.9862501342293
21,714.8378642947657
22,704.6894784553019
23,694.5410926158384
24,684.3927067763746
25,675.4411960664894
26,666.4896853566042
27,657.5381746467192
28,648.586663936834
29,640.5792647468393
30,632.5718655568444
31,624.5644663668496
32,616.5570671768547
33,609.313493511726
34,602.0699198465974
35,594.8263461814687
36,587.58277251634
37,580.9699078651281
38,574.3570432139162
39,567.7441785627044
40,561.1313139114925
41,555.0480681283037
42,548.964822345115
43,542.8815765619263
44,536.7983307787375
45,531.1661248950547
46,525.5339190113718
47,519.9017131276889
48,514.269507244006
49,509.0260490109977
50,503.7825907779894
51,498.5391325449811
52,493.2956743119728
53,488.3907467055174
54,483.485819099062
55,478.58089149260655
56,473.6759638861512
57,469.06849262810215
58,464.4610213700531
59,459.8535501120041
60,455.246078853955
61,450.9020394021189
62,446.55799995028275
63,442.2139604984466
64,437.86992104661056
65,433.76081223006963
66,429.6517034135287
67,425.54259459698767
68,421.43348578044674
69,417.5351954069929
70,413.63690503353905
71,409.7386146600852
72,405.84032428663136
73,402.1322718097545
74,398.4242193328777
75,394.7161668560009
76,391.00811437912404
77,387.47259319087215
78,383.9370720026203
79,380.4015508143685
80,376.86602962611664
81,373.4876956707333
82,370.1093617153499
83,366.73102775996654
84,363.35269380458317
85,360.1181631087547
86,356.88363241292615
87,353.6491017170976
88,350.4145710212691
89,347.3120994377298
90,344.20962785419033
91,341.107156270651
92,338.0046846871116
93,335.0239104874622
94,332.04313628781284
95,329.06236208816347
96,326.0815878885141
97,323.21332296181777
98,320.3450580351214
99,317.476793108425
100,314.6085281817286
101,311.8445872247421
102,309.08064626775564
103,306.3167053107692
104,303.55276435378266
105,300.8858240481261
106,298.2188837424696
107,295.5519434368131
108,292.8850031311565
109,290.3084852038047
110,287.73196727645296
111,285.1554493491012
112,282.5789314217494
113,280.0869048872021
114,277.5948783526548
115,275.1028518181075
116,272.6108252835602
117,270.1979242116521
118,267.785023139744
119,265.37212206783585
120,262.95922099592775
121,260.6205749372545
122,258.2819288785812
123,255.94328281990795
124,253.60463676123467
125,251.33581156185892
126,249.06698636248314
127,246.79816116310738
128,244.5293359637316
129,242.32628316136442
130,240.12323035899723
