,0
0,0.9015873015873016
1,0.14285714285714285
2,0.2857142857142857
3,0.47301587301587306
4,0.6222222222222222
5,0.7873015873015873
6,0.9015873015873016
7,0.9047619047619048
8,0.9047619047619048
9,0.9015873015873016
10,0.8380952380952381
11,0.8857142857142857
12,0.8698412698412699
13,0.8444444444444444
14,0.7873015873015873
15,0.8888888888888888
16,0.8603174603174604
17,0.8126984126984126
18,0.7777777777777778
19,0.8317460317460318
20,0.892063492063492
21,0.8984126984126984
22,0.9015873015873016
23,0.8952380952380953
24,0.9047619047619048
25,0.8984126984126984
26,0.9047619047619048
27,0.9047619047619048
28,0.9047619047619048
29,0.8952380952380952
30,0.8920634920634921
31,0.892063492063492
32,0.9015873015873016
33,0.8984126984126984
34,0.8952380952380953
35,0.9047619047619048
36,0.9015873015873016
37,0.8952380952380953
38,0.9047619047619048
39,0.9047619047619048
40,0.9047619047619048
41,0.9047619047619048
42,0.9015873015873016
43,0.9015873015873016
44,0.8857142857142857
45,0.9015873015873016
46,0.8952380952380953
47,0.8984126984126984
48,0.9047619047619048
49,0.9047619047619048
50,0.9047619047619048
51,0.9047619047619048
52,0.9015873015873016
53,0.8888888888888888
54,0.8952380952380952
55,0.9015873015873016
56,0.9015873015873016
57,0.8984126984126984
58,0.9015873015873016
59,0.888888888888889
60,0.8984126984126984
61,0.9047619047619048
62,0.9015873015873016
63,0.9047619047619048
64,0.9047619047619048
65,0.8761904761904762
66,0.9015873015873016
67,0.9015873015873016
68,0.9047619047619048
69,0.9015873015873016
70,0.9047619047619048
71,0.8857142857142857
72,0.9015873015873016
73,0.8984126984126983
74,0.8984126984126983
75,0.8952380952380952
76,0.9047619047619048
77,0.9047619047619048
78,0.9047619047619048
79,0.9047619047619048
80,0.9047619047619048
81,0.8984126984126984
82,0.892063492063492
83,0.9047619047619048
84,0.9015873015873016
85,0.9015873015873016
86,0.9047619047619048
87,0.9015873015873016
88,0.9047619047619048
89,0.9015873015873016
90,0.9047619047619048
91,0.8952380952380953
92,0.9015873015873016
93,0.9015873015873016
94,0.9015873015873016
95,0.9015873015873016
96,0.9047619047619048
97,0.9015873015873016
98,0.8984126984126984
99,0.9047619047619048
100,0.9047619047619048
101,0.8952380952380952
102,0.892063492063492
103,0.8952380952380952
104,0.9015873015873016
105,0.9047619047619048
106,0.9047619047619048
107,0.9047619047619048
108,0.9047619047619048
