,0
0,0.5888888888888889
1,0.6333333333333333
2,0.5555555555555555
3,0.5666666666666667
4,0.5444444444444444
5,0.6222222222222222
6,0.5666666666666667
7,0.5444444444444444
8,0.5777777777777778
9,0.5555555555555555
10,0.5888888888888889
11,0.5666666666666668
12,0.5333333333333333
13,0.6666666666666666
14,0.5333333333333333
15,0.5222222222222221
16,0.5888888888888889
17,0.4666666666666666
18,0.6333333333333333
19,0.6
20,0.6
21,0.5888888888888889
22,0.5333333333333333
23,0.5555555555555555
24,0.611111111111111
25,0.6444444444444444
26,0.5222222222222221
27,0.611111111111111
28,0.5888888888888889
29,0.5111111111111111
30,0.5666666666666668
31,0.41111111111111115
32,0.5666666666666667
33,0.5444444444444444
