,0
0,1.0
1,0.9968253968253968
2,0.9968253968253968
3,1.0
4,1.0
5,0.9873015873015873
6,0.9936507936507937
7,1.0
8,0.9968253968253968
9,0.9904761904761905
10,0.9936507936507937
11,0.9936507936507937
12,0.9936507936507937
13,0.9904761904761905
14,0.9904761904761905
15,1.0
16,1.0
17,1.0
18,1.0
19,0.9936507936507937
20,0.9968253968253968
21,1.0
22,0.9968253968253968
23,1.0
24,0.9968253968253968
25,0.9936507936507937
26,0.9968253968253968
27,1.0
28,0.9968253968253968
29,1.0
30,1.0
31,1.0
32,0.9936507936507937
33,0.9936507936507937
34,1.0
35,0.9904761904761905
36,0.9936507936507937
37,1.0
38,1.0
39,0.9904761904761905
40,0.9968253968253968
41,1.0
42,0.9936507936507937
43,1.0
44,1.0
45,1.0
46,0.9936507936507937
47,0.9968253968253968
48,1.0
49,0.9873015873015873
50,0.9873015873015873
51,0.9904761904761905
52,0.9936507936507937
53,0.9968253968253968
54,1.0
55,0.9968253968253968
56,1.0
57,0.9936507936507937
58,0.9968253968253968
59,0.9968253968253968
60,0.9936507936507937
61,0.9936507936507937
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,0.9936507936507937
70,0.9936507936507937
71,1.0
72,0.9809523809523809
73,0.9968253968253968
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,0.9968253968253968
81,0.9936507936507937
82,0.9936507936507937
83,0.9904761904761905
84,0.9968253968253968
85,1.0
86,1.0
87,1.0
88,0.9968253968253968
89,0.9936507936507937
90,0.9904761904761905
91,1.0
92,0.9936507936507937
93,0.9968253968253968
94,1.0
95,0.9968253968253968
96,1.0
97,1.0
98,1.0
99,1.0
100,0.9841269841269842
101,0.9841269841269842
102,0.9968253968253968
103,0.9968253968253968
104,1.0
105,1.0
106,1.0
107,0.9968253968253968
108,1.0
