,0
0,276.31021115928553
1,268.20090899712227
2,260.09160683495895
3,251.98230467279564
4,243.87300251063235
5,235.76370034846906
6,227.65439818630577
7,221.90075673727017
8,216.14711528823455
9,210.39347383919892
10,204.6398323901633
11,198.88619094112767
12,193.13254949209204
13,188.66967846580786
14,184.20680743952366
15,179.74393641323945
16,175.28106538695528
17,170.81819436067107
18,166.35532333438687
19,162.70889219850778
20,159.06246106262867
21,155.41602992674962
22,151.7695987908705
23,148.12316765499142
24,144.47673651911234
25,141.39372292256715
26,138.310709326022
27,135.22769572947684
28,132.14468213293165
29,129.0616685363865
30,125.97865493984133
31,123.30802708735087
32,120.63739923486042
33,117.96677138236998
34,115.29614352987952
35,112.62551567738907
36,109.95488782489862
37,107.59922711177096
38,105.24356639864328
39,102.88790568551562
40,100.53224497238794
41,98.17658425926027
42,95.82092354613259
43,93.71371323297606
44,91.60650291981953
45,89.499292606663
46,87.39208229350649
47,85.28487198034996
48,83.17766166719343
49,81.27145807110693
50,79.36525447502044
51,77.45905087893395
52,75.55284728284745
53,73.64664368676095
54,71.74044009067445
55,70.00021255088186
56,68.25998501108927
57,66.51975747129667
58,64.77952993150407
59,63.03930239171148
60,61.29907485191889
61,59.698220698448154
62,58.09736654497743
63,56.4965123915067
64,54.89565823803598
65,53.29480408456524
66,51.69394993109451
67,50.21179048802007
68,48.729631044945634
69,47.2474716018712
70,45.76531215879676
71,44.28315271572232
72,42.80099327264789
73,41.42113584290885
74,40.04127841316982
75,38.661420983430794
76,37.28156355369176
77,35.90170612395273
78,34.5218486942137
79,33.23107827146228
80,31.940307848710855
81,30.649537425959434
82,29.358767003208012
83,28.06799658045659
84,26.77722615770517
85,25.56473372137647
86,24.352241285047775
87,23.13974884871908
88,21.927256412390385
89,20.714763976061686
90,19.50227153973299
91,18.35910326293402
92,17.21593498613505
93,16.07276670933608
94,14.929598432537107
95,13.786430155738135
96,12.643261878939162
97,11.561917453533644
98,10.480573028128127
99,9.39922860272261
100,8.317884177317092
101,7.236539751911575
102,6.155195326506059
103,5.1293294387550485
104,4.1034635510040385
105,3.077597663253029
106,2.0517317755020192
107,1.0258658877510096
108,0.0
