,0,1,2,3,4,5,6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9399509803921569
6,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
9,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
10,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
11,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
12,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
13,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9583333333333334
14,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334
20,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
26,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0.9803921568627452,0.9848484848484849,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
36,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
40,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9791666666666666
43,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
47,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0,1.0,0.9215686274509803
50,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9375
51,1.0,1.0,1.0,1.0,1.0,1.0,0.9399509803921569
52,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9791666666666666
53,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
54,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,0.9803921568627452,1.0,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
58,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
59,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
60,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
61,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9791666666666666
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0
